x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730835.4171,5026168.855,11.86214414,17.28686411,21.52296359,4.9,9.19166479,13.5804208,17.95706532
730835.2144,5026167.752,11.52214414,17.51686411,21.50296359,4.88,9.06166479,13.5304208,18.00706532
730835.0463,5026166.702,11.60214414,17.41686411,21.60296359,4.89,9.05166479,13.6404208,18.19706532
730834.9021,5026165.569,11.28214414,17.25686411,21.15296359,4.9,9.17166479,13.7704208,18.10706532
730834.7684,5026164.474,11.48214414,17.27686411,21.78296359,4.89,8.65166479,13.0204208,17.33706532
730834.6061,5026163.372,11.21214414,17.62686411,21.82296359,4.88,8.40166479,12.6204208,16.76706532
730834.4411,5026162.274,10.96214414,17.34686411,21.99296359,4.88,8.17166479,12.4504208,16.51706532
730834.2947,5026161.166,10.82214414,17.34686411,22.02296359,4.87,8.43166479,12.6204208,16.65706532
730834.0901,5026160.077,10.88214414,16.89686411,21.50296359,4.86,8.32166479,12.5404208,16.84706532
730833.894,5026158.971,10.76214414,17.19686411,21.88296359,4.85,8.73166479,12.9104208,16.91706532
730833.7378,5026157.882,10.96214414,17.28686411,21.99296359,4.84,8.86166479,12.7304208,16.80706532
730833.598,5026156.774,11.83214414,17.96686411,22.40296359,4.82,9.21166479,13.4904208,17.74706532
730833.4408,5026155.676,11.18214414,17.57686411,22.63296359,4.81,8.92166479,13.3504208,17.81706532
730833.2946,5026154.562,11.59214414,18.15686411,22.90296359,4.8,8.97166479,13.5604208,18.14706532
730833.1781,5026153.46,11.76214414,18.28686411,22.59296359,4.79,9.41166479,14.1404208,18.73706532
730833.0469,5026152.367,12.07214414,18.72686411,23.01296359,4.8,9.34166479,14.3504208,19.16706532
730832.8314,5026151.256,11.86214414,18.58686411,23.44296359,4.78,9.59166479,14.4704208,19.34706532
730832.6733,5026150.147,11.87214414,19.45686411,23.80296359,4.77,9.80166479,14.9304208,19.77706532
730832.5172,5026149.055,12.38214414,19.06686411,23.03296359,4.76,10.24166479,15.2504208,20.12706532
730832.4128,5026147.943,12.77214414,19.42686411,23.73296359,4.75,10.08166479,14.8704208,19.66706532
730832.2817,5026146.881,12.66214414,19.19686411,23.86296359,4.76,9.94166479,14.9604208,19.84706532
730832.0893,5026145.747,12.39214414,19.23686411,23.73296359,4.76,10.20166479,15.6104208,20.68706532
730831.8911,5026144.66,11.98214414,19.13686411,23.57296359,4.75,10.91166479,16.2604208,21.23706532
730831.71,5026143.538,13.03214414,19.88686411,24.17296359,4.74,11.00166479,16.4004208,21.57706532
730831.5572,5026142.427,12.85214414,19.77686411,24.31296359,4.72,11.52166479,16.8804208,21.93706532
730831.4643,5026141.322,13.22214414,20.12686411,24.44296359,4.71,11.75166479,17.0504208,22.49706532
730831.3712,5026140.225,13.53214414,21.27686411,25.62296359,4.7,13.03166479,18.4104208,23.56706532
730831.2783,5026139.12,14.81214414,21.85686411,25.00296359,4.71,13.19166479,18.5604208,23.47706532
730831.2203,5026137.991,15.61214414,22.67686411,26.21296359,4.7,11.95166479,16.9704208,22.04706532
730831.1584,5026136.897,15.13214414,22.20686411,25.71296359,4.71,11.28166479,16.4904208,21.67706532
730831.0742,5026135.803,14.59214414,21.93686411,26.11296359,4.7,11.46166479,16.3504208,21.26706532
730830.9838,5026134.667,14.01214414,21.18686411,25.52296359,4.7,11.54166479,16.5404208,21.52706532
730830.8,5026133.583,14.23214414,20.50686411,25.31296359,4.71,11.75166479,17.3004208,22.50706532
730830.6147,5026132.466,13.53214414,20.83686411,25.69296359,4.71,12.46166479,18.3704208,23.87706532
730830.4627,5026131.37,14.05214414,21.78686411,26.48296359,4.7,12.87166479,19.1404208,24.53706532
730830.2632,5026130.286,16.84214414,25.25686411,29.03296359,4.67,14.21166479,19.5504208,25.31706532
730830.146,5026129.165,18.12214414,26.18686411,29.58296359,4.66,14.37166479,21.5304208,27.43706532
730830.0164,5026128.1,17.81214414,27.06686411,31.27296359,4.66,14.45166479,21.7504208,27.99706532
730829.9018,5026126.946,18.20214414,27.36686411,30.51296359,4.65,14.96166479,22.4504208,28.54706532
730829.8132,5026125.901,19.27214414,27.24686411,31.01296359,4.66,14.39166479,21.7304208,27.99706532
730829.6715,5026124.773,18.67214414,27.40686411,30.83296359,4.66,14.47166479,21.8804208,28.07706532
730829.523,5026123.653,18.53214414,27.14686411,30.95296359,4.66,14.92166479,21.7204208,27.00706532
730829.3822,5026122.57,17.91214414,25.55686411,28.69296359,4.68,13.85166479,19.6904208,24.37706532
730829.2465,5026121.492,16.65214414,23.61686411,26.89296359,4.68,12.26166479,17.1404208,21.62706532
730829.0809,5026120.411,14.71214414,21.44686411,25.75296359,4.7,10.12166479,15.0804208,20.06706532
730828.9006,5026119.266,12.70214414,19.82686411,24.81296359,4.67,10.49166479,14.7304208,19.30706532
730828.7585,5026118.183,12.18214414,18.57686411,23.47296359,4.69,9.67166479,13.8904208,18.24706532
730828.6067,5026117.045,11.49214414,17.65686411,22.65296359,4.7,9.90166479,13.8804208,18.30706532
730828.4254,5026115.963,11.73214414,17.63686411,22.53296359,4.7,9.36166479,13.6604208,18.31706532
730828.2366,5026114.871,11.74214414,18.34686411,23.81296359,4.71,9.44166479,14.2204208,19.56706532
730828.025,5026113.761,11.83214414,19.34686411,25.35296359,4.69,11.59166479,16.9504208,21.96706532
730827.839,5026112.664,15.47214414,23.84686411,29.05296359,4.7,12.58166479,18.3204208,24.14706532
730827.715,5026111.552,16.94214414,25.45686411,29.41296359,4.68,13.59166479,20.2004208,26.13706532
730827.5723,5026110.451,17.94214414,27.05686411,30.98296359,4.68,14.36166479,21.4804208,27.54706532
730827.4637,5026109.346,18.45214414,27.85686411,31.60296359,4.67,14.92166479,21.9704208,28.22706532
730827.3397,5026108.236,18.37214414,27.79686411,31.41296359,4.67,15.83166479,22.4004208,28.36706532
730827.2108,5026107.151,18.42214414,26.52686411,30.23296359,4.68,14.90166479,21.7904208,27.90706532
730827.0428,5026106.025,18.18214414,26.69686411,30.76296359,4.69,15.25166479,22.4504208,28.83706532
730826.9079,5026104.926,19.30214414,26.96686411,29.21296359,4.69,15.93166479,22.9104208,28.18706532
730826.7667,5026103.855,17.45214414,22.87686411,25.63296359,4.71,15.36166479,21.2904208,25.59706532
730826.6175,5026102.754,14.98214414,20.67686411,24.83296359,4.73,13.00166479,18.4104208,23.01706532
730826.4698,5026101.647,14.98214414,20.67686411,24.83296359,4.73,11.86166479,16.6804208,20.90706532
730826.3341,5026100.533,13.12214414,18.38686411,22.48296359,4.75,11.08166479,15.7604208,19.98706532
730826.1538,5026099.459,12.94214414,18.19686411,22.05296359,4.75,10.69166479,15.1904208,19.56706532
730825.981,5026098.321,12.94214414,18.19686411,22.05296359,4.76,10.82166479,15.2804208,19.79706532
730825.8015,5026097.262,12.81214414,18.24686411,22.67296359,4.77,10.79166479,15.3204208,20.20706532
730825.6809,5026096.128,12.98214414,19.35686411,24.47296359,4.78,10.86166479,16.4304208,22.17706532
730825.4794,5026095.062,13.94214414,20.78686411,25.25296359,4.78,12.64166479,19.0204208,24.65706532
730825.3319,5026093.987,15.96214414,23.00686411,26.18296359,4.79,13.70166479,20.2804208,26.01706532
730825.195,5026092.834,16.90214414,24.29686411,28.39296359,4.78,14.42166479,20.1604208,25.32706532
730825.0518,5026091.782,17.53214414,26.01686411,30.08296359,4.82,14.88166479,18.5704208,24.51706532
730824.9273,5026090.648,17.70214414,25.63686411,29.03296359,4.84,13.73166479,20.1404208,25.73706532
730824.7649,5026089.55,18.50214414,25.83686411,28.31296359,4.83,14.29166479,20.4904208,25.93706532
730824.6035,5026088.459,18.50214414,25.64686411,28.20296359,4.81,14.45166479,20.6904208,25.85706532
730824.432,5026087.359,17.44214414,24.47686411,27.03296359,4.82,13.51166479,19.3904208,24.57706532
730824.2613,5026086.239,16.32214414,22.74686411,24.56296359,4.81,12.84166479,18.4304208,23.04706532
730824.1081,5026085.174,14.52214414,19.76686411,22.36296359,4.85,12.07166479,16.7004208,20.77706532
730823.9502,5026084.058,12.68214414,17.26686411,20.58296359,4.86,11.14166479,15.3404208,19.20706532
730823.8316,5026082.941,11.72214414,16.44686411,20.11296359,4.86,10.77166479,14.6404208,18.26706532
730823.7015,5026081.854,11.87214414,16.29686411,20.25296359,4.86,10.38166479,14.2404208,17.83706532
730823.5502,5026080.74,11.62214414,16.00686411,19.73296359,4.87,10.55166479,14.5204208,18.30706532
730823.3726,5026079.663,12.09214414,16.41686411,21.17296359,4.87,10.83166479,15.1604208,19.28706532
730823.2087,5026078.532,12.20214414,17.48686411,21.81296359,4.88,11.06166479,15.7604208,20.32706532
730823.0207,5026077.418,13.22214414,19.23686411,23.43296359,4.89,11.74166479,16.8004208,21.89706532
730822.828,5026076.328,14.57214414,20.60686411,23.50296359,4.92,12.68166479,17.7104208,22.94706532
730822.6406,5026075.233,15.49214414,22.61686411,26.56296359,4.9,12.70166479,17.7404208,23.30706532
730822.483,5026074.109,15.31214414,23.22686411,26.68296359,4.87,12.10166479,18.1004208,23.70706532
730822.3232,5026073.049,16.03214414,23.75686411,27.44296359,4.87,12.12166479,18.1604208,23.91706532
730822.205,5026071.921,16.39214414,24.00686411,27.22296359,4.86,12.59166479,18.5104208,23.87706532
730822.0755,5026070.781,15.83214414,23.68686411,26.94296359,4.87,12.23166479,18.0604208,23.21706532
730821.9589,5026069.717,14.94214414,22.26686411,25.69296359,4.88,11.89166479,17.0304208,21.53706532
730821.8101,5026068.567,-5.867855856,14.84686411,24.29296359,4.87,10.71166479,15.1304208,19.62706532
730821.7005,5026067.49,11.93214414,19.16686411,23.89296359,4.86,9.69166479,14.2304208,18.98706532
730821.5872,5026066.371,12.52214414,18.76686411,23.69296359,4.85,10.55166479,15.3704208,20.06706532
730821.49,5026065.278,13.03214414,19.43686411,24.11296359,4.85,10.54166479,15.1304208,19.65706532
730821.385,5026064.147,13.07214414,19.50686411,24.10296359,4.85,10.45166479,14.8304208,19.61706532
730821.3193,5026063.015,13.23214414,18.70686411,23.78296359,4.84,12.69166479,15.9704208,20.06706532
730821.2536,5026061.917,12.86214414,18.89686411,23.44296359,4.85,10.03166479,14.6804208,19.52706532
730821.1671,5026060.816,12.44214414,18.62686411,23.29296359,4.85,10.11166479,14.7704208,19.42706532
730821.0721,5026059.697,12.48214414,18.49686411,22.89296359,4.83,10.13166479,14.5104208,18.97706532
730820.9917,5026058.572,12.27214414,18.48686411,23.10296359,4.82,10.16166479,14.4004208,18.93706532
730820.9027,5026057.469,12.26214414,18.44686411,23.04296359,4.83,9.93166479,14.3704208,18.91706532
730820.8422,5026056.371,12.35214414,18.32686411,22.59296359,4.83,10.10166479,14.6004208,19.19706532
730820.7785,5026055.255,12.39214414,18.25686411,22.67296359,4.83,10.18166479,14.8204208,19.59706532
730820.732,5026054.098,12.37214414,18.07686411,22.44296359,4.8,10.45166479,15.1104208,19.72706532
730820.6496,5026053.029,12.24214414,18.09686411,22.71296359,4.81,10.43166479,15.1504208,19.80706532
730820.5886,5026051.909,12.43214414,18.83686411,23.78296359,4.81,10.18166479,14.7704208,19.53706532
730820.5093,5026050.79,12.32214414,18.90686411,23.23296359,4.8,9.83166479,14.7604208,19.84706532
730820.4359,5026049.687,12.78214414,19.54686411,24.02296359,4.79,10.36166479,15.2104208,20.21706532
730820.3501,5026048.57,13.15214414,20.31686411,24.14296359,4.79,10.32166479,15.3604208,20.31706532
730820.2646,5026047.477,13.00214414,19.44686411,23.62296359,4.8,10.92166479,15.5404208,20.45706532
730820.1805,5026046.382,13.25214414,19.96686411,23.12296359,4.81,10.75166479,16.3804208,21.35706532
730820.0866,5026045.27,13.66214414,19.02686411,21.93296359,4.79,13.16166479,17.1204208,21.09706532
730820.0014,5026044.132,13.08214414,18.25686411,22.07296359,4.78,11.00166479,15.4804208,19.53706532
730819.9164,5026043.025,12.14214414,18.38686411,22.63296359,4.79,10.00166479,14.5104208,18.74706532
730819.8053,5026041.918,12.72214414,18.41686411,21.79296359,4.78,10.42166479,15.1004208,19.50706532
730819.71,5026040.81,13.83214414,18.75686411,21.65296359,4.78,11.14166479,15.9804208,20.28706532
730819.642,5026039.704,13.77214414,19.07686411,22.18296359,4.78,10.93166479,15.5404208,19.81706532
730819.5721,5026038.576,13.59214414,19.24686411,22.75296359,4.78,10.53166479,15.1904208,19.61706532
730819.5293,5026037.462,13.63214414,19.08686411,22.26296359,4.78,10.85166479,15.6904208,20.43706532
730819.4827,5026036.343,14.12214414,19.77686411,22.30296359,4.77,11.44166479,16.4804208,21.09706532
730819.4412,5026035.225,14.76214414,21.15686411,24.25296359,4.76,11.81166479,16.6304208,20.89706532
